Terms,co-occurrence_counts
valu - craft,1
valu - ;,1
valu - find,1
valu - custom,2
valu - produc,1
valu - art,1
. - craft,4
produc - ;,1
produc - find,1
produc - custom,2
produc - valu,1
produc - art,2
produc - build,2
produc - brand,1
custom - build,1
custom - brand,2
art - valu,1
art - produc,2
"art - ,",6
art - build,1
art - brand,1
art - expand,1
", - art",6
build - produc,2
build - custom,1
build - art,1
build - brand,1
build - expand,1
build - product,2
build - line,1
brand - produc,1
brand - custom,2
brand - art,1
brand - build,1
brand - expand,2
brand - product,3
brand - line,2
brand - brand,2
", - drape",1
expand - art,1
expand - build,1
expand - brand,2
expand - product,2
expand - line,1
expand - drape,1
expand - design,1
product - build,2
product - brand,3
product - expand,2
product - drape,1
line - build,1
line - brand,2
line - expand,1
line - drape,1
line - design,1
line - hand-produce.charg,1
brand - drape,1
brand - design,2
brand - hand-produce.charg,1
brand - premium,3
"drape - ,",1
drape - expand,1
drape - product,1
drape - line,1
drape - brand,1
drape - design,1
drape - ’,1
drape - hand-produce.charg,1
drape - premium,1
drape - ordinaryan,1
design - expand,1
design - line,1
design - brand,2
design - drape,1
design - ’,3
design - hand-produce.charg,1
design - premium,1
design - ordinaryan,1
design - entrepreneur,1
’ - drape,1
’ - design,3
’ - hand-produce.charg,1
’ - premium,2
’ - ordinaryan,2
hand-produce.charg - line,1
hand-produce.charg - brand,1
hand-produce.charg - drape,1
hand-produce.charg - design,1
hand-produce.charg - ’,1
hand-produce.charg - premium,1
hand-produce.charg - ordinaryan,1
hand-produce.charg - entrepreneur,1
hand-produce.charg - need,1
hand-produce.charg - awar,1
premium - brand,3
premium - drape,1
premium - design,1
premium - ’,2
premium - hand-produce.charg,1
premium - ordinaryan,1
premium - entrepreneur,1
premium - need,1
premium - awar,1
ordinaryan - drape,1
ordinaryan - design,1
ordinaryan - ’,2
ordinaryan - hand-produce.charg,1
ordinaryan - premium,1
ordinaryan - entrepreneur,1
ordinaryan - need,1
ordinaryan - awar,1
ordinaryan - special,1
entrepreneur - design,1
entrepreneur - hand-produce.charg,1
entrepreneur - premium,1
entrepreneur - ordinaryan,1
entrepreneur - need,3
entrepreneur - awar,1
entrepreneur - special,1
need - hand-produce.charg,1
need - premium,1
need - ordinaryan,1
need - entrepreneur,3
need - awar,1
need - special,2
awar - hand-produce.charg,1
awar - premium,1
awar - ordinaryan,1
awar - entrepreneur,1
awar - need,1
awar - ’,2
awar - special,1
awar - machin,1
awar - built,1
’ - awar,2
’ - special,3
special - ordinaryan,1
special - entrepreneur,1
special - need,2
special - awar,1
special - ’,3
special - machin,1
special - built,1
special - .,4
special - work,3
machin - awar,1
machin - special,1
machin - work,2
machin - especi,2
’ - especi,5
’ - unique.a,1
built - awar,1
built - special,1
built - work,1
built - especi,1
built - unique.a,1
built - pitfal,1
. - special,4
. - unique.a,1
. - pitfal,1
work - special,3
work - machin,2
work - built,1
work - especi,1
work - unique.a,1
work - pitfal,1
work - effici,1
especi - machin,2
especi - ’,5
especi - built,1
especi - work,1
especi - unique.a,1
especi - pitfal,1
especi - effici,1
especi - enough,1
unique.a - ’,1
unique.a - built,1
unique.a - .,1
unique.a - work,1
unique.a - especi,1
unique.a - pitfal,1
unique.a - machin,1
unique.a - effici,1
unique.a - enough,1
unique.a - price,1
pitfal - built,1
pitfal - .,1
pitfal - work,1
pitfal - especi,1
pitfal - unique.a,1
pitfal - machin,1
pitfal - effici,1
pitfal - enough,1
pitfal - price,1
pitfal - high,1
machin - unique.a,1
machin - pitfal,1
machin - effici,1
machin - enough,1
machin - price,1
machin - high,1
machin - cover,1
effici - work,1
effici - especi,1
effici - unique.a,1
effici - pitfal,1
effici - machin,1
effici - enough,1
effici - price,1
effici - high,1
effici - cover,1
effici - cost,1
enough - especi,1
enough - unique.a,1
enough - pitfal,1
enough - machin,1
enough - effici,1
enough - price,2
enough - high,2
enough - cover,1
enough - cost,1
enough - time,2
price - unique.a,1
price - pitfal,1
price - machin,1
price - effici,1
price - enough,2
price - high,3
price - cover,1
price - cost,2
price - time,1
price - end,1
high - pitfal,1
high - machin,1
high - effici,1
high - enough,2
high - price,3
high - cover,1
high - cost,2
high - time,1
high - end,1
high - need,2
cover - machin,1
cover - effici,1
cover - enough,1
cover - price,1
cover - high,1
cover - cost,1
cover - time,1
cover - end,1
cover - need,3
cover - charg,1
cost - effici,1
cost - enough,1
cost - price,2
cost - high,2
cost - cover,1
cost - time,5
cost - end,1
cost - need,5
cost - charg,1
cost - like,1
time - enough,2
time - price,1
time - high,1
time - cover,1
time - cost,5
time - end,2
time - charg,1
time - like,2
time - special,1
end - price,1
end - high,1
end - cover,1
end - cost,1
end - time,2
end - need,2
end - charg,1
end - like,1
end - special,1
end - work,3
need - high,2
need - cover,3
need - cost,5
need - end,2
need - charg,1
need - like,3
need - work,6
charg - cover,1
charg - cost,1
charg - time,1
charg - end,1
charg - need,1
charg - like,1
charg - special,1
charg - work,1
charg - .,2
like - cost,1
like - time,2
like - end,1
like - need,3
like - charg,1
like - special,1
like - actual,1
special - time,1
special - end,1
special - charg,1
special - like,1
special - actual,1
work - end,3
work - need,6
work - charg,1
work - run,4
. - charg,2
actual - like,1
actual - special,1
actual - run,1
actual - busi,1
actual - could,1
", - could",26
run - work,4
run - actual,1
run - could,1
busi - actual,1
busi - could,2
busi - standard,1
busi - put,2
work - could,4
work - put,1
could - actual,1
"could - ,",26
could - run,1
could - busi,2
could - work,4
could - standard,1
could - .,18
could - put,1
could - risk,1
could - copi,1
standard - busi,1
standard - could,1
standard - put,1
standard - risk,1
standard - copi,1
standard - undercut,1
. - could,18
. - copi,5
. - undercut,1
put - busi,2
put - work,1
put - could,1
put - standard,1
put - risk,1
put - copi,1
put - undercut,1
put - someon,1
risk - could,1
risk - standard,1
risk - put,1
risk - copi,1
risk - undercut,1
risk - someon,1
risk - figur,1
copi - could,1
copi - standard,1
copi - .,5
copi - put,1
copi - risk,1
copi - undercut,1
copi - someon,1
copi - ’,2
copi - figur,1
copi - effici,1
undercut - standard,1
undercut - .,1
undercut - put,1
undercut - risk,1
undercut - copi,1
undercut - someon,1
undercut - ’,1
undercut - figur,1
undercut - effici,1
undercut - cheaper,1
someon - put,1
someon - risk,1
someon - copi,1
someon - undercut,1
someon - figur,1
someon - effici,1
someon - cheaper,1
’ - copi,2
’ - undercut,1
’ - figur,2
’ - effici,1
’ - cheaper,1
’ - extrem,6
figur - risk,1
figur - copi,1
figur - undercut,1
figur - someon,1
figur - ’,2
figur - effici,1
figur - cheaper,1
figur - .,3
figur - extrem,1
figur - exampl,1
effici - copi,1
effici - undercut,1
effici - someon,1
effici - ’,1
effici - figur,1
effici - cheaper,2
effici - extrem,1
effici - exampl,1
effici - amazon,1
cheaper - undercut,1
cheaper - someon,1
cheaper - ’,1
cheaper - figur,1
cheaper - effici,2
cheaper - .,7
cheaper - extrem,1
cheaper - exampl,1
cheaper - amazon,1
cheaper - move,1
. - figur,3
. - cheaper,7
. - extrem,9
. - amazon,5
. - move,9
extrem - ’,6
extrem - figur,1
extrem - effici,1
extrem - cheaper,1
extrem - .,9
extrem - exampl,3
extrem - amazon,1
extrem - move,1
extrem - busi,1
exampl - figur,1
exampl - effici,1
exampl - cheaper,1
exampl - extrem,3
exampl - amazon,1
exampl - move,1
exampl - busi,1
exampl - simpl,1
amazon - effici,1
amazon - cheaper,1
amazon - .,5
amazon - extrem,1
amazon - exampl,1
amazon - move,1
amazon - busi,1
amazon - simpl,1
amazon - someon,1
move - cheaper,1
move - .,9
move - extrem,1
move - exampl,1
move - amazon,1
move - busi,2
move - simpl,1
move - someon,1
move - el,1
busi - extrem,1
busi - exampl,1
busi - amazon,1
busi - move,2
busi - simpl,1
busi - someon,1
busi - el,1
. - simpl,21
. - realli,21
simpl - exampl,1
simpl - amazon,1
simpl - move,1
simpl - busi,1
simpl - .,21
simpl - someon,1
simpl - el,1
simpl - ’,10
simpl - realli,3
simpl - commit,1
someon - amazon,1
someon - move,1
someon - busi,1
someon - simpl,1
someon - realli,2
someon - commit,1
someon - connect,1
el - move,1
el - busi,1
el - simpl,1
el - realli,2
el - commit,1
el - connect,1
el - client,1
’ - simpl,10
’ - realli,15
’ - commit,5
’ - connect,3
realli - .,21
realli - simpl,3
realli - someon,2
realli - el,2
realli - ’,15
realli - commit,1
realli - connect,1
realli - client,1
realli - peopl,3
commit - simpl,1
commit - someon,1
commit - el,1
commit - ’,5
commit - realli,1
commit - connect,1
commit - client,1
commit - peopl,1
commit - taught,1
connect - someon,1
connect - el,1
connect - ’,3
connect - realli,1
connect - commit,1
connect - client,2
connect - taught,1
connect - work.you,1
client - el,1
client - realli,1
client - commit,1
client - connect,2
client - peopl,1
client - taught,1
client - work.you,1
client - either,1
peopl - realli,3
peopl - commit,1
peopl - client,1
peopl - taught,1
peopl - work.you,1
peopl - either,1
’ - taught,1
’ - work.you,1
taught - commit,1
taught - connect,1
taught - client,1
taught - peopl,1
taught - ’,1
taught - work.you,1
taught - either,1
taught - make,1
taught - uniqu,1
work.you - connect,1
work.you - client,1
work.you - peopl,1
work.you - ’,1
work.you - taught,1
work.you - either,1
work.you - make,1
work.you - work,1
work.you - uniqu,1
"work.you - ,",1
either - client,1
either - peopl,1
either - taught,1
either - work.you,1
either - make,1
either - work,1
either - uniqu,1
"either - ,",12
either - build,2
make - taught,1
make - work.you,1
make - either,1
make - work,4
make - build,3
work - work.you,1
work - either,1
work - make,4
work - build,1
work - “,3
uniqu - taught,1
uniqu - work.you,1
uniqu - either,1
uniqu - build,2
uniqu - “,2
", - work.you",1
", - either",12
", - machineri",4
build - either,2
build - make,3
build - work,1
build - uniqu,2
build - “,1
build - machineri,2
build - ”,1
uniqu - machineri,1
uniqu - ”,2
“ - work,3
“ - uniqu,2
“ - build,1
“ - product,1
“ - machineri,1
product - “,1
product - machineri,1
product - understand,1
"machineri - ,",4
machineri - build,2
machineri - uniqu,1
machineri - “,1
machineri - product,1
machineri - ”,1
machineri - .,2
machineri - understand,1
machineri - well,1
” - build,1
” - uniqu,2
” - machineri,1
” - understand,1
” - well,3
. - machineri,2
. - understand,13
. - well,31
. - buy,9
", - understand",9
", - well",45
", - buy",17
understand - product,1
understand - machineri,1
understand - ”,1
understand - .,13
"understand - ,",9
understand - well,1
understand - peopl,1
understand - buy,1
understand - someth,1
well - machineri,1
well - ”,3
well - .,31
"well - ,",45
well - understand,1
well - peopl,3
well - buy,2
well - someth,3
well - extraordinarili,3
peopl - understand,1
peopl - well,3
peopl - buy,2
peopl - someth,1
peopl - extraordinarili,1
buy - .,9
"buy - ,",17
buy - understand,1
buy - well,2
buy - peopl,2
buy - someth,1
buy - extraordinarili,1
buy - ?,2
. - extraordinarili,1
someth - understand,1
someth - well,3
someth - peopl,1
someth - buy,1
someth - extraordinarili,1
someth - ?,3
"someth - ,",17
extraordinarili - well,3
extraordinarili - peopl,1
extraordinarili - buy,1
extraordinarili - .,1
extraordinarili - someth,1
extraordinarili - ?,1
"extraordinarili - ,",1
extraordinarili - put,1
well - ?,4
well - well,2
well - put,2
well - togeth,2
? - buy,2
? - someth,3
? - extraordinarili,1
? - well,4
"? - ,",42
? - put,1
? - togeth,1
", - someth",17
", - extraordinarili",1
", - ?",42
", - put",15
", - conveni",3
well - conveni,1
well - experi,2
put - extraordinarili,1
put - well,2
put - ?,1
"put - ,",15
put - togeth,1
put - conveni,1
put - experi,1
put - get,2
togeth - well,2
togeth - ?,1
togeth - put,1
togeth - conveni,1
togeth - experi,1
togeth - get,1
togeth - use,1
", - get",66
"conveni - ,",3
conveni - well,1
conveni - put,1
conveni - togeth,1
conveni - experi,1
conveni - get,1
conveni - use,1
conveni - product,1
conveni - ?,1
experi - well,2
experi - put,1
experi - togeth,1
experi - conveni,1
experi - get,2
experi - use,1
experi - product,1
experi - ?,3
experi - stretch,1
get - put,2
get - togeth,1
"get - ,",66
get - conveni,1
get - experi,2
get - use,9
get - product,2
get - ?,6
get - stretch,1
get - thinon,1
use - togeth,1
use - conveni,1
use - experi,1
use - get,9
use - product,3
use - ?,9
use - stretch,1
use - thinon,1
use - way,4
product - conveni,1
product - experi,1
product - get,2
product - use,3
product - ?,5
product - stretch,1
product - thinon,1
product - way,1
? - conveni,1
? - experi,3
? - get,6
? - use,9
? - product,5
? - stretch,1
? - thinon,1
? - way,5
stretch - experi,1
stretch - get,1
stretch - use,1
stretch - product,1
stretch - ?,1
stretch - thinon,1
stretch - way,1
stretch - freelanc,1
stretch - grow,1
stretch - part,1
thinon - get,1
thinon - use,1
thinon - product,1
thinon - ?,1
thinon - stretch,1
thinon - way,1
thinon - freelanc,1
thinon - grow,1
thinon - part,1
thinon - work,1
way - use,4
way - product,1
way - ?,5
way - stretch,1
way - thinon,1
way - freelanc,1
way - grow,3
way - part,1
way - work,2
way - project,1
freelanc - stretch,1
freelanc - thinon,1
freelanc - way,1
freelanc - grow,1
freelanc - part,1
freelanc - project,1
freelanc - done,1
grow - stretch,1
grow - thinon,1
grow - way,3
grow - freelanc,1
grow - work,3
grow - project,1
grow - done,1
grow - peopl,1
part - stretch,1
part - thinon,1
part - way,1
part - freelanc,1
part - work,1
part - project,5
part - done,1
part - peopl,3
part - hire,1
work - thinon,1
work - way,2
work - grow,3
work - part,1
work - project,3
work - done,4
work - hire,5
project - way,1
project - freelanc,1
project - grow,1
project - part,5
project - work,3
project - done,1
project - peopl,2
project - hire,2
project - ’,6
done - freelanc,1
done - grow,1
done - part,1
done - work,4
done - project,1
done - peopl,1
done - hire,1
done - .,14
done - ’,10
peopl - grow,1
peopl - part,3
peopl - project,2
peopl - done,1
hire - part,1
hire - work,5
hire - project,2
hire - done,1
hire - well,2
hire - everi,1
. - done,14
’ - project,6
’ - done,10
’ - well,12
’ - type,6
work - well,6
work - everi,5
work - type,6
well - hire,2
well - ’,12
well - work,6
well - everi,1
well - type,1
everi - hire,1
everi - work,5
everi - well,1
everi - type,1
everi - best,1
type - ’,6
type - work,6
type - well,1
type - everi,1
type - best,1
work - larg,5
. - portion,1
work - portion,3
best - everi,1
best - type,1
best - larg,1
best - portion,1
best - face,3
work - face,4
larg - work,5
larg - best,1
larg - portion,1
larg - face,2
larg - ’,4
portion - .,1
portion - work,3
portion - best,1
portion - larg,1
portion - face,2
portion - ’,1
portion - requir,1
work - requir,2
work - absolut,1
face - best,3
face - work,4
face - larg,2
face - portion,2
face - face,2
face - ’,13
face - requir,2
face - absolut,2
face - craft,1
’ - larg,4
’ - portion,1
’ - face,13
’ - requir,3
’ - craft,3
requir - portion,1
requir - work,2
requir - face,2
requir - ’,3
requir - absolut,1
requir - best,1
requir - craft,1
absolut - work,1
absolut - face,2
absolut - requir,1
absolut - craft,1
best - requir,1
best - craft,1
best - difficult,1
craft - face,1
craft - ’,3
craft - requir,1
craft - absolut,1
craft - best,1
craft - difficult,1
craft - trainer,1
. - difficult,4
. - trainer,2
’ - difficult,5
’ - trainer,2
difficult - best,1
difficult - craft,1
difficult - .,4
difficult - ’,5
difficult - trainer,1
difficult - coach,1
difficult - ;,1
difficult - natur,1
difficult - consult,1
trainer - craft,1
trainer - .,2
trainer - ’,2
trainer - difficult,1
trainer - coach,1
trainer - ;,1
trainer - natur,1
trainer - consult,1
trainer - design.in,1
coach - difficult,1
coach - trainer,1
coach - ;,1
coach - natur,1
coach - consult,1
coach - design.in,1
coach - ideal,1
; - difficult,1
; - trainer,1
; - coach,1
; - consult,1
; - design.in,1
; - ideal,1
; - situat,1
natur - difficult,1
natur - trainer,1
natur - coach,1
natur - consult,1
natur - design.in,1
natur - ideal,1
natur - situat,1
consult - difficult,1
consult - trainer,1
consult - coach,1
consult - ;,1
consult - natur,1
consult - design.in,1
consult - ideal,1
consult - situat,1
consult - find,1
design.in - trainer,1
design.in - coach,1
design.in - ;,1
design.in - natur,1
design.in - consult,1
design.in - ideal,1
design.in - situat,1
"design.in - ,",1
design.in - find,1
design.in - peopl,1
ideal - coach,1
ideal - ;,1
ideal - natur,1
ideal - consult,1
ideal - design.in,1
ideal - situat,1
"ideal - ,",5
ideal - find,1
ideal - peopl,1
ideal - simpler,1
situat - ;,1
situat - natur,1
situat - consult,1
situat - design.in,1
situat - ideal,1
"situat - ,",3
situat - find,1
situat - peopl,2
situat - simpler,1
situat - part,1
", - design.in",1
", - ideal",5
", - situat",3
", - simpler",1
", - part",19
find - consult,1
find - design.in,1
find - ideal,1
find - situat,1
find - peopl,5
find - simpler,1
find - part,1
find - project,1
find - (,4
peopl - design.in,1
peopl - ideal,1
peopl - situat,2
peopl - find,5
peopl - simpler,1
peopl - (,4
simpler - ideal,1
simpler - situat,1
"simpler - ,",1
simpler - find,1
simpler - peopl,1
simpler - part,2
simpler - project,1
simpler - (,1
simpler - complementari,1
part - situat,1
"part - ,",19
part - find,1
part - simpler,2
part - (,2
part - part,2
part - complementari,2
part - skillset,2
project - find,1
project - simpler,1
project - complementari,1
project - skillset,1
project - ),2
( - find,4
( - peopl,4
( - simpler,1
( - part,2
( - complementari,1
( - skillset,1
( - spend,2
part - ),2
part - spend,3
part - time,1
complementari - simpler,1
complementari - part,2
complementari - project,1
complementari - (,1
complementari - skillset,1
complementari - ),1
complementari - spend,1
complementari - time,1
complementari - complex,1
skillset - part,2
skillset - project,1
skillset - (,1
skillset - complementari,1
skillset - ),1
skillset - spend,1
skillset - time,1
skillset - complex,1
skillset - strateg,1
) - project,2
) - part,2
) - complementari,1
) - skillset,1
) - spend,2
) - time,8
) - complex,3
) - strateg,1
) - element,2
spend - (,2
spend - part,3
spend - complementari,1
spend - skillset,1
spend - ),2
spend - complex,1
spend - strateg,1
spend - element,1
spend - project,2
time - part,1
time - complementari,1
time - skillset,1
time - ),8
time - complex,1
time - strateg,1
time - element,1
time - project,2
time - realli,3
complex - complementari,1
complex - skillset,1
complex - ),3
complex - spend,1
complex - time,1
complex - strateg,1
complex - element,2
complex - project,2
complex - realli,1
complex - requir,1
strateg - skillset,1
strateg - ),1
strateg - spend,1
strateg - time,1
strateg - complex,1
strateg - element,1
strateg - project,1
strateg - realli,1
strateg - requir,1
strateg - attent,1
element - ),2
element - spend,1
element - time,1
element - complex,2
element - strateg,1
element - project,1
element - realli,2
element - requir,1
element - attent,1
element - .,4
project - spend,2
project - time,2
project - complex,2
project - strateg,1
project - element,1
project - realli,1
project - requir,1
project - attent,1
realli - time,3
realli - complex,1
realli - strateg,1
realli - element,2
realli - project,1
realli - requir,1
realli - attent,1
"realli - ,",21
requir - complex,1
requir - strateg,1
requir - element,1
requir - project,1
requir - realli,1
requir - attent,1
requir - time,2
"requir - ,",21
requir - spend,1
attent - strateg,1
attent - element,1
attent - project,1
attent - realli,1
attent - requir,1
attent - .,1
attent - time,2
"attent - ,",4
attent - spend,1
. - element,4
. - attent,1
. - spend,8
time - requir,2
time - attent,2
time - time,4
time - new,3
", - realli",21
", - requir",21
", - attent",4
", - spend",14
", - new",30
", - clients.what",1
spend - requir,1
spend - attent,1
spend - .,8
"spend - ,",14
spend - get,2
spend - new,2
spend - clients.what,1
spend - ’,6
time - clients.what,1
time - employ,1
get - spend,2
get - new,1
get - clients.what,1
new - time,3
"new - ,",30
new - spend,2
new - get,1
new - clients.what,1
new - ’,8
new - employ,1
new - run,1
new - entir,1
"clients.what - ,",1
clients.what - spend,1
clients.what - time,1
clients.what - get,1
clients.what - new,1
clients.what - ’,1
clients.what - employ,1
clients.what - run,1
clients.what - entir,1
clients.what - project,1
’ - spend,6
’ - new,8
’ - clients.what,1
’ - employ,2
’ - entir,4
employ - time,1
employ - new,1
employ - clients.what,1
employ - ’,2
employ - entir,2
employ - project,1
run - new,1
run - clients.what,1
run - entir,2
run - project,2
run - tricki,1
entir - new,1
entir - clients.what,1
entir - ’,4
entir - employ,2
entir - run,2
entir - project,1
entir - .,7
entir - tricki,1
entir - thing,1
project - clients.what,1
project - employ,1
project - run,2
project - entir,1
project - tricki,1
project - thing,1
. - entir,7
. - new,31
", - tricki",3
", - thing",25
tricki - run,1
tricki - entir,1
tricki - project,1
"tricki - ,",3
tricki - thing,1
tricki - hire,1
tricki - new,1
tricki - peopl,1
tricki - ’,2
thing - entir,1
thing - project,1
"thing - ,",25
thing - tricki,1
thing - hire,1
thing - new,1
thing - peopl,1
thing - ’,7
thing - alway,2
hire - tricki,1
hire - thing,1
hire - new,1
hire - alway,1
hire - less,1
new - .,31
new - tricki,1
new - thing,1
new - hire,1
new - peopl,3
new - alway,1
new - less,1
new - qualifi,1
peopl - tricki,1
peopl - thing,1
peopl - new,3
peopl - alway,2
peopl - less,1
peopl - qualifi,1
’ - tricki,2
’ - thing,7
’ - less,11
’ - qualifi,2
alway - thing,2
alway - hire,1
alway - new,1
alway - peopl,2
alway - less,1
alway - qualifi,1
alway - (,2
alway - expen,1
less - hire,1
less - new,1
less - peopl,1
less - ’,11
less - alway,1
less - qualifi,1
less - expen,1
qualifi - new,1
qualifi - peopl,1
qualifi - ’,2
qualifi - alway,1
qualifi - less,1
qualifi - (,1
qualifi - expen,1
qualifi - ),1
( - alway,2
( - qualifi,1
( - expen,1
( - mean,1
’ - expen,2
’ - mean,9
expen - alway,1
expen - less,1
expen - qualifi,1
expen - (,1
expen - ’,2
expen - ),3
expen - mean,1
expen - client,1
) - qualifi,1
) - expen,3
) - mean,2
) - client,3
) - base,2
. - mean,7
. - base,5
mean - (,1
mean - ’,9
mean - expen,1
mean - ),2
mean - .,7
mean - client,2
mean - base,1
mean - still,1
mean - expect,1
) - still,2
client - expen,1
client - ),3
client - mean,2
client - base,2
client - still,1
client - expect,1
client - complex,1
client - part,1
base - ),2
base - .,5
base - mean,1
base - client,2
base - still,1
base - expect,1
base - complex,1
base - part,1
base - project,1
still - mean,1
still - ),2
still - client,1
still - base,1
still - expect,1
still - complex,2
still - part,1
still - project,1
expect - mean,1
expect - client,1
expect - base,1
expect - still,1
expect - complex,1
expect - part,1
expect - project,1
"expect - ,",6
expect - b,1
complex - client,1
complex - base,1
complex - still,2
complex - expect,1
complex - part,1
"complex - ,",5
complex - b,1
part - client,1
part - base,1
part - still,1
part - expect,1
part - complex,1
part - b,1
project - base,1
project - still,1
project - expect,1
project - b,1
project - lot,1
", - expect",6
", - complex",5
", - b",4
", - lot",26
b - expect,1
b - complex,1
b - part,1
b - project,1
"b - ,",4
b - ),1
b - spend,1
b - lot,1
b - time,1
b - teach,1
) - b,1
) - lot,1
) - teach,2
spend - b,1
spend - teach,2
lot - project,1
"lot - ,",26
lot - b,1
lot - ),1
lot - teach,1
lot - ’,12
time - b,1
time - teach,2
time - less,2
teach - b,1
teach - ),2
teach - spend,2
teach - lot,1
teach - time,2
teach - less,1
teach - commit,1
. - less,16
. - commit,3
", - less",17
", - commit",3
’ - lot,12
’ - shop,2
less - time,2
less - teach,1
less - .,16
"less - ,",17
less - commit,1
less - shop,1
commit - teach,1
commit - .,3
"commit - ,",3
commit - less,1
commit - (,1
commit - shop,1
commit - ),1
( - commit,1
( - shop,1
’ - pinch,1
shop - ’,2
shop - less,1
shop - commit,1
shop - (,1
shop - ),1
shop - .,2
shop - pinch,1
) - commit,1
) - shop,1
) - pinch,1
. - shop,2
. - pinch,2
. - end,11
", - pinch",3
", - fix",13
pinch - ’,1
pinch - shop,1
pinch - ),1
pinch - .,2
"pinch - ,",3
pinch - still,1
pinch - end,1
pinch - fix,1
pinch - yourself.it,1
", - yourself.it",1
still - pinch,1
still - end,1
still - fix,1
still - yourself.it,1
still - balanc,3
end - .,11
end - pinch,1
end - still,1
end - fix,1
end - yourself.it,1
end - ’,6
end - balanc,1
end - act,1
"fix - ,",13
fix - pinch,1
fix - still,1
fix - end,1
fix - yourself.it,1
fix - ’,1
fix - balanc,1
fix - act,1
fix - .,3
yourself.it - pinch,1
"yourself.it - ,",1
yourself.it - still,1
yourself.it - end,1
yourself.it - fix,1
yourself.it - ’,2
yourself.it - balanc,1
yourself.it - act,1
yourself.it - .,1
’ - end,6
’ - fix,1
’ - yourself.it,2
’ - balanc,5
’ - act,5
balanc - still,3
balanc - end,1
balanc - fix,1
balanc - yourself.it,1
balanc - ’,5
balanc - act,1
balanc - .,11
balanc - hire,1
act - end,1
act - fix,1
act - yourself.it,1
act - ’,5
act - balanc,1
act - still,1
act - hire,1
act - work,1
. - fix,3
. - yourself.it,1
. - balanc,11
’ - complex,1
still - act,1
still - hire,1
still - ;,2
hire - balanc,1
hire - act,1
hire - still,1
hire - ;,1
hire - complex,1
work - act,1
work - complex,2
work - becom,2
; - still,2
; - hire,1
; - complex,2
; - becom,5
; - overwhelm,1
complex - ’,1
complex - hire,1
complex - work,2
complex - ;,2
complex - .,3
complex - becom,1
complex - overwhelm,1
complex - ánd,1
work - overwhelm,1
work - ánd,3
work - spend,1
. - complex,3
. - overwhelm,1
. - ánd,1
becom - work,2
becom - ;,5
becom - complex,1
becom - overwhelm,1
becom - ánd,1
becom - spend,1
becom - time,2
becom - teach,1
overwhelm - ;,1
overwhelm - complex,1
overwhelm - work,1
overwhelm - .,1
overwhelm - becom,1
overwhelm - ánd,1
overwhelm - spend,1
overwhelm - time,1
overwhelm - teach,1
"overwhelm - ,",1
ánd - complex,1
ánd - work,3
ánd - .,1
ánd - becom,1
ánd - overwhelm,1
ánd - spend,2
ánd - time,4
ánd - teach,2
"ánd - ,",5
ánd - ánd,4
spend - work,1
spend - becom,1
spend - overwhelm,1
spend - ánd,2
spend - end,2
time - becom,2
time - overwhelm,1
time - ánd,4
time - simpl,1
teach - becom,1
teach - overwhelm,1
teach - ánd,2
teach - end,1
teach - simpl,1
", - overwhelm",1
", - ánd",5
ánd - end,2
ánd - simpl,2
end - spend,2
end - teach,1
end - ánd,2
end - simpl,1
end - run,1
simpl - time,1
simpl - teach,1
simpl - ánd,2
simpl - end,1
simpl - work,3
simpl - run,1
simpl - compani,1
work - simpl,3
ánd - run,1
ánd - compani,2
ánd - peopl,2
ánd - first,2
run - end,1
run - simpl,1
run - ánd,1
run - first,1
run - time,2
compani - simpl,1
compani - ánd,2
compani - first,1
peopl - ánd,2
peopl - first,1
peopl - time,3
first - ánd,2
first - run,1
first - compani,1
first - peopl,1
first - time,1
first - enough,1
time - run,2
time - peopl,3
time - first,1
time - work.a,1
", - work.a",1
", - prudent",1
ánd - find,1
ánd - enough,1
ánd - work.a,1
ánd - prudent,1
ánd - approach,1
find - ánd,1
find - enough,1
find - work.a,1
find - prudent,1
find - approach,2
find - start,1
enough - first,1
enough - ánd,1
enough - find,1
enough - work.a,1
enough - prudent,1
enough - approach,1
enough - start,3
enough - outsourc,1
work.a - time,1
"work.a - ,",1
work.a - ánd,1
work.a - find,1
work.a - enough,1
work.a - prudent,1
work.a - approach,1
work.a - start,1
work.a - outsourc,1
work.a - part,1
"prudent - ,",1
prudent - ánd,1
prudent - find,1
prudent - enough,1
prudent - work.a,1
prudent - approach,1
prudent - start,1
prudent - outsourc,1
prudent - part,1
prudent - project,1
approach - ánd,1
approach - find,2
approach - enough,1
approach - work.a,1
approach - prudent,1
approach - start,2
approach - outsourc,1
approach - part,1
approach - project,1
approach - keep,2
start - find,1
start - enough,3
start - work.a,1
start - prudent,1
start - approach,2
start - outsourc,1
start - part,1
start - project,2
start - keep,1
outsourc - enough,1
outsourc - work.a,1
outsourc - prudent,1
outsourc - approach,1
outsourc - start,1
outsourc - part,1
outsourc - project,1
outsourc - keep,1
"outsourc - ,",1
outsourc - thu,1
part - work.a,1
part - prudent,1
part - approach,1
part - start,1
part - outsourc,1
part - keep,1
part - thu,1
part - learn,1
project - prudent,1
project - approach,1
project - start,2
project - outsourc,1
project - keep,1
project - thu,1
project - teach,1
keep - approach,2
keep - start,1
keep - outsourc,1
keep - part,1
keep - project,1
keep - thu,1
keep - learn,2
keep - teach,2
keep - well,1
", - outsourc",1
", - thu",4
thu - outsourc,1
thu - part,1
